text,label
"On the card that is coming, what's the tracking info?",11
What is the status of my card's delivery?,11
Have you sent out my card yet?,11
My card isn't here yet.,11
It's been a week since you sent my card and I still don't have it.,11
When will I recieve my new card?,11
When will I get my new card?,11
What is the expected delivery date for my card?,11
I would like to track the card you sent to me.,11
Has my card been lost in delivery?,11
Where is the card I ordered 2 weeks ago?,11
Can I get an update on my replacement card?,11
How long does it take for a new card to ship?,11
What's the tracking on the card you sent?,11
My card still hasn't been delivered,11
Where is my credit card that was to be mailed?,11
I ordered my card but it hasn't been delivered yet,11
Am I able to track the card that was just sent to me?,11
Can you tell me why I haven't received my new card?,11
I'm still waiting for my new card.,11
Is my card lost? I am still waiting for it to be delivered.,11
Should I keep waiting for my card to be delivered?,11
Can I track when my card will be delivered?,11
How can I check on the status of my new card?,11
Is there a way I can get my card expedited?,11
why hasnt my card come in yet?,11
How can I periodically check the delivery of the card you sent?,11
How long does it take for me to get my new card?,11
I don't have my card after 1 week. What are my next steps?,11
I know I'm getting a new card but would like know when I can expect to receive it.,11
I want to find out what happened to my new card?,11
My card hasn't arrived.,11
I haven't gotten my new card.,11
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,11
Will I have to wait much longer for my new card to arrive?,11
how to track the card you sent,11
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,11
How can I check on the delivery status of my card?,11
"My card has not been delivered yet and its been a week since I ordered it, please help",11
What's the expected wait time to recieve my new card?,11
How can I see the progress of delivery of the card that was sent?,11
I ordered a card and would like to know how to track the delivery progress of it.,11
How long will it take for me to get my card?,11
My card hasn't shown up yet.,11
Does the card you sent have a tracking number?,11
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,11
maximum how many days get the courier?,11
"I've been waiting a while for my card, is there a way to know when it will arrive?",11
How can I track my card's delivery?,11
Can I track the card that was just sent to me?,11
"What's go on, where is my new card?",11
Where is my new card if I haven't received it yet?,11
Where is my card?,11
Can you tell me why I haven't received my new card yet?,11
Is there a way to track my card?,11
Is there a way to track the new card you sent me?,11
I'm still waiting for my card.,11
WHAT IS THE SOLUTION OF THIS PROBLEM,11
Could I get tracking on the card?,11
Can you help me track my card?,11
Shouldn't my new card be here by now?,11
Is there a tracking number for the card?,11
can you share card tracking number?,11
"I have not received my card and it's been a week, what do I do?",11
Is there a way I can check on the card on route to me?,11
When will my new card arrive?,11
Why haven't I received my new card yet?,11
My card hasn't came in the mail yet?,11
I haven't received my card.,11
Is it possible for me to track the card is was mailed to me?,11
When will my new card be delivered?,11
I was issued a card about a week ago. why hasn't it come in yet?,11
Can you please tell me where my card is? I ordered it 2 weeks ago!,11
I still haven't received my card in the mail,11
I'm still waiting for my card that was issued a week ago. What should I do?,11
I still haven't gotten my new card.  When will it get here?,11
Could you send me and up date on the arrival of my card?,11
How long does it take to recieve my new card?,11
My card has not come in the mail yet.,11
What's the card you sent me's tracking number?,11
i havent got my card,11
Why hasn't my card arrived yet?,11
I thought I would have received my new card at this point.,11
How much longer until I get my new card?,11
How long will it be to get this new card?,11
how can i track card you sent,11
Can the card was sen to me be tracked?,11
I need to track the card sent to me.,11
"It's been two weeks and I haven't gotten my card, what do I do?",11
I was expecting my new card by now.,11
Where is the tracking number for the card?,11
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,11
Can you tell me if I can track the card you sent me?,11
Why have I not gotten my new card?,11
I'm still waiting on my new card to be delivered!,11
My new card isn't here and it was issued a week ago.,11
"I was supposed to receive my new card by now, but it hasn't came in.",11
Is a tracking number available for the card that was just sent?,11
How much longer is it going to take to get my new card?,11
My card hasn't arrived yet. What do I do?,11
My card appears to have never arrived?,11
I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,13
How can I make my card show up in the app?,13
"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",13
Can I reactivate a card?,13
I would like to reactivate a card and wondered if that could be done?,13
"I got my card now, how do I make it show up in the app?",13
How do I link an existing card?,13
"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",13
I already have a card and want to link it,13
Can you please reactivate my card?,13
Where do I go to add a new card?,13
I want my card I just received to show up in the app. How do I do that?,13
"I received my card, how do I get it to show in the app?",13
If I have a credit card with you how I get set up to link to it?,13
How do I add my new card?,13
"I want to reactivate my card, I thought I had lost it but found it again this morning.",13
"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",13
My card is no longer lost. How do I enter it back into the app?,13
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",13
"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",13
How do I reactivate a card I thought I lost?,13
Help me figure out how to link the new card.,13
I found my lost card. Am I still able to use it?,13
Will I need a new card or can I put my old card back into the app?,13
Is there a way to link the card i just got?,13
How do I add a new card?,13
"I want to reactivate my card, I found it after thinking it was lost.",13
Can I put my old card back in the app?,13
"I got a new card, how do I link it?",13
I found the card I thought I lost this morning. Can I reactivate this card?,13
how do i get the card linked,13
"I have one of your cards, but I don't know how to link it.",13
how do I link an old card?,13
"Now that I have my card, how do I connect it to the app?",13
How do I add the card I just received to show up in the app?,13
"I want to reactivate my card, I thought I had lost it but I found it.",13
What do I need to do to link my new card for my account?,13
Can I add a card to back into the app?,13
I want to link my new card. Can you help?,13
What is the process to link the new card?,13
"I found my card, am I able to put it back into the app?",13
Where can I link a new card?,13
How do I add a card on to the app?,13
"I found my card in my jacket this morning, so can I reactivate it?",13
I need to find the card I received in the app.,13
How do I get my card on the app?,13
How do I link my new card?,13
Can I activate a card in the app?,13
"I want to link to my card card with you, how?",13
I would like to link my card to my account.,13
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",13
How can I link the new card?,13
"Hey, I have my card, how do I get it to show in the app?",13
Where in the app do I go to make my new card show up?,13
Where do I scan my card?,13
Can I link my card I previously received?,13
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",13
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",13
You sent me a card and now I want to link it.,13
How do I add my new card to the app?,13
Can I add a card back to the app?,13
"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",13
Is there a way to link cards if I have one of yours?,13
If my card was lost or stolen can I re-link it?,13
How do I link a new card to an existing one?,13
How do I link a new payment card?,13
I would like to reactivate my card that I previously reported lost. I located the card this morning.,13
"Card has been received, how will it show up on the app?",13
What do I do to link my new card?,13
Is it possible to link a new card?,13
"I found my card that I thought I had lost, I need to reactive it, please help.",13
can I link a card of yours I already have?,13
Can I put my found card back into the app on my phone?,13
"I found the card that I thought I lost, and I would like to reactivate it.",13
I found my card again. Can I put it back into the app?,13
I need some help linking my new card.,13
help me link my card,13
How do I link my card in the app.,13
How do I get my card into the app?,13
I found my card! Can I link it back into the app?,13
Where do I go to get my new card linked?,13
"I thought I lost my card but I found it today, so I would like to reactivate it.",13
How do I link the new card that I just got from you guys?,13
Can you tell me how to get my card on the app?,13
How do I make my card appear on the app?,13
How do I link the new card?,13
Where in the app do I link a new card?,13
How do I add my card to the app once I get it?,13
Can I link your physical card,13
How do I activate and link my new card?,13
I received my new card.  Where is it in the app?,13
"I found my card, how can I use it again?",13
"I just received a new card, where do I go to link it to my account?",13
"found card, how to put it back in app",13
How do I see my card in the app?,13
"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?",13
I don't see my card anywhere in the app.,13
"I received my card, how do I get it to work in the app?",13
What do I do if I already had a card with you guys?,13
if i found a lost card can i put it back in app,13
I have a card that was deactivated can I reactivate it?,13
"My new card isn't in my app, how do I get it in there?",13
Help me access the card I already got so I can information from it.,13
I need to know what your exchange rates are.,32
What's the process for exchanges?,32
What do you think of the exchange rate?,32
How are exchange rates calculated at this bank?,32
What do you use to figure out the exchange rate for the card?,32
What's the foreign exchange rate I will receive?,32
What exchange rate will I receive?,32
What is the basis of your exchange rates?,32
How's the exchange rate?,32
How do you determine your exchange rates?,32
Where are you getting your exchange rates from?,32
How is the exchange rate calculated?,32
I'm interested in what your exchange rates are based on.,32
How do you decide what the exchange rates are?,32
What is the current exchange rate?,32
What is the formula for your exchange rate?,32
What method do you use for the exchange rate?,32
What are Interbanks current exchange rates?,32
from where are coming your exchange rates?,32
How do you calculate exchange rates?,32
Why is your exchange rate different on different days?,32
Where can I get your exchange rates from?,32
How do you find the exchange rate?,32
How are exchange rates determined?,32
What are your exchange rates calculated from?,32
What is your opinion on the exchange rate?,32
What are the exchange rates you assign?,32
How do you determine exchange rates?,32
How are your exchange rates calculated?,32
How is an exchange rate calculated?,32
"When exchanging, how much are the rates?",32
What is the exchange rate for EUR?,32
Could you please tell me your exchange rates?,32
Is there an exchange rate?,32
What is the present state of the exchange rate?,32
How are foreign exchange rates determined?,32
How's the exchange rate looking right now?,32
Please explain the exchange rates.,32
What exchange rates do you use?,32
How will I know what the exchange rate is?,32
Where does the exchange rate stand right now?,32
I'd like to know what the foreign exchange rate will be.,32
Does the exchange rate change?,32
How do your exchange rates factor in?,32
Will I know which exchange rate I will get?,32
How do I know what the exchange rate will be when I make an exchange.,32
Is the exchange rate the same on weekends as the weekdays?,32
How do you do exchanges?,32
On what do you base your exchange rates?,32
How do you come up with your exchange rate,32
What factors determine your exchange rate?,32
Is the exchange rate current?,32
What are the exchange rates?,32
How much are the rates of exchange?,32
How do you decide what your exchange rates are?,32
Your exchange rates are coming from where?,32
Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,32
How are the exchange rates for transfers calculated?,32
How do you do currency exchanges?,32
Can you explain your exchange rates basis?,32
How did you guys get your exchange rate?,32
Can you tell me your exchange rates?,32
Does this app have the same exchange rate as third parties?,32
what are your exchange rates at?,32
How is the current exchange rate?,32
How can I tell what foreign exchange rate I will get?,32
Tell me your opinion on the exchange rate.,32
I'd like to know what you guys look at to decide an exchange rate,32
where do you find your exchange rates?,32
I want to know your exchange rates.,32
What is the source of your exchange rates?,32
i need to know about exchange rates,32
Where do you get those exchange rates?,32
After purchasing an item I noticed the exchange rate was incorrect.,17
The exchange rate from my card payment isn't right.,17
My exchange rate isn't correct.,17
Why was the exchange rate so wrong when I bought something!,17
I was using a foreign currecy to make a payment and the applied the wrong rate.,17
The exchange rate was incorrect for this item I bought.,17
The exchange rate is incorrect for my payment.,17
The item i bought exchanged rate was incorrect.,17
I'm on holiday and I noticed a different amount for exchange rate.  Can you explain?,17
I bought an item and the exchange rate was wrong.,17
Exchange rate for my card payment is wrong,17
"I recently purchased something, and the exchange rate was wrong.",17
Why is my exchange rate wrong?,17
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,17
I used foreign currency to buy something and I think the rate applied is incorrect.,17
This exchange rate on my purchase is wrong.,17
Why is your exchange rate so bad?,17
The exchange rate looks wrong on a holiday purchase,17
I bought something and I take issue with the exchange rate applied.,17
I think there has been a mistake on my exchange rate for this purchase.,17
You did not give me the correct exchange rate for an item that I bought.,17
I checked on google and the exchange rate you are using is really bad. Can you update it?,17
"I seem to have been charged to much for my holiday purchases, the exchange rate is wrong.",17
I bough an item and the exchange rate was incorrect.,17
Why did you charge me more for my purchase? It was a foreign currency and you didn't offer market rate,17
I feel as though I have been over charged for the exchange rate on my payment on last Saturday.,17
The currency exchange rate was wrong for a purchase I made.,17
I purchased something abroad and the incorrect exchange rate was applied.,17
Your exchange rate was off.  I was charged extra on my payment that I made last Saturday.,17
I was charged the wrong exchange rate on a purchase,17
Can you change the rate for the item I bought in a different currency as it is wrong?,17
I noticed the currency exchange rate was incorrect after paying for something in a foreign country.,17
My foreign currency exchange has been applied incorrectly.,17
Why isn't my purchase exchange rate correct?,17
"I purchased something while traveling, and the exchange rate applied was wrong.",17
Why is the exchange rate different on my recent purchase?,17
The fee charged when I changed rubles into British pounds was too much.,17
I wasn't charged the correct exchange rate for an item I purchased.,17
The rate applied to my purchase in a foreign currency was wrong.,17
"I bought something while traveling, and the exchange rate was wrong.",17
something is wrong with my exchange rate charge,17
Seems like the exchange rate for my payment last Saturday was wrong. I was charged extra.,17
It seems that something went wrong with my exchange. I changed Russian Ruble into UK pounds but have been charged entirely too much!,17
I bought an item then noticed the exchange rate was wrong.,17
The exchange rate applied is wrong for my international purchase.,17
My card payment had the wrong exchange rate,17
Does the exchange rate change each day for purchases? There is a different rate on my purchase.,17
I exchanged Russian rubles for British pounds today and got less than I expected. Was exchange rate correct?,17
Was I charged more than I should of been for a currency exchange?,17
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,17
I have been overcharged. I just changed over Russian Ruble to UK pounds and it was too much. It seems something was wrong with my exchange.,17
What is your exchange rate between UK pounds and Russian rubles for my last transaction,17
I think there was an error in your exchange rate.,17
The exchange rate was not correct for the item I bought.,17
I noticed an extra charge on the purchase that I made last Saturday on my account. Can you see if I received the correct exchange rate?,17
The correct exchange rate wasn't given to me for an item I purchased.,17
"I bought something in another currency, but the exchange rate was incorrect.",17
the exchange rate is wrong from something I got in another country,17
"The exchange rate given to me after a purchase, was incorrect",17
My card payment has the wrong exchange rate,17
I have been charged way to much so something is apparently wrong with my exchange. I changed Russian Ruble into UK pounds.,17
Why is the exchange rate different from what I expected?,17
The exchange rate you are using is really bad.This can't be the official interbank exchange rate.,17
The wrong exchange rate was used when I purchased an item.,17
Why was the wrong rate applied when I bought something in a different currency?,17
I bought something abroad and the exchange rate applied is wrong,17
An item I bought had the wrong exchange rate applied.,17
I think the rate that was applied to my purchase using foreign currency is wrong. Help!,17
Why was my exchange rate a different amount than usual?,17
"The exchange rate you're using is terrible - this can't be the official interbank exchange rate, can it?",17
I did not receive the correct amount for the exchange rate.,17
"I guess exchange rate for my payment was not correct, as i charged extra on the last saturday.",17
The exchange rate for my payment last Saturday must be wrong because I was charged extra.,17
The exchange rate you are using is really bad. This can't possibly be the official interbank exchange rate.,17
I believe you charged me too much to exchange my money,17
"I changed the currency, but why is it costing more?",17
Why was the exchange wrong for the item I purchased?,17
"I made an international purchase, but the exchange rate was wrong",17
My purchase used the wrong exchange rate,17
"I have been charged to much for the object I bought when abroad, the exchange rate seems to be wrong.",17
I made a purchase and was charged at the wrong foreign exchange rate.,17
I think that the exchange rate was wrong for the payment made last Saturday - I was charged extra.,17
Why is the exchange rate for my payment incorrect?,17
Your foreign exchange rate is wrong.,17
It looks like the exchange rates on my card payment are wrong,17
There's an error with the rate that is charged.,17
I bought an item at the wrong exchange rate.,17
I bought an item that I was charged a different exchange rate for.,17
I am not receiving the correct exchange rate on my card.,17
When I purchased a product in another country the currency exchange was incorrect.,17
The exchange rate used on your app is really bad. I'm considering closing my account because of it.,17
I think I was charged extra on my payment on last Saturday.  Maybe the exchange rate was wrong?  I'd like a refund.,17
I received the wrong exchange rate for an item i bought.,17
Are you ripping people off with the exchange rate?  It can't be that atrocious between banks.,17
I don't think the charges made when I had currency exchanged are right.,17
"When I bought something abroad, the exchange rate was wrong.",17
I didn't receive the correct exchange rate for an item that I bought.,17
Why is the exchange rate on my card wrong?,17
The exchange rate is incorrect on an item I recently purchased in a foreign country.,17
The exchange rate is incorrect for something I bought,17
My payment had a wrong exchange rate.,17
The exchange rate for my electronic payment is incorrect.,17
Why is the exchange rate on my card payment different than I expected?,17
I recently bought something in foreign currency and I am unsure of the exchange rate. Is this rate applied correctly?,17
I purchased something abroad but the exchange rate is incorrect.,17
A foreign purchase I made has the incorrect rate applied to it.,17
"When I was traveling abroad, the exchange rate was applied wrong.",17
There's an error in regards to the exchange rate for an item I bought.,17
"Last Saturday, I made a payment and the exchange rate was wrong.  I was charged too much.",17
The exchange rate is bad. Are you sure this is the exchange rate?,17
Exchange rate on a purchase was incorrect,17
"I'm going on a trip soon and I needed to convert my Russian ruble to UK pounds, but when I did, your company charged me above the exchange rate. Did you mess up my transaction?",17
I was charged extra. Was the exchange rate for my payment last Saturday wrong?,17
The exchange rate that was applied for an international purchase was wrong.,17
"Hello, I believe there has been a mistake made on the exchange rate for my card. Could you please check the official interbank exchange rate for me?",17
Why am I being charged more on exchange with things I bought abroad?,17
"I  have been charged more than I should for the presents I bought  when abroad, the problem seems to be the exchange rate.",17
I made a purchase but the exchange rate is wrong?,17
Why on earth is the exchange rate so bad?   Can I get a rate closer to the actual interbank rate?,17
Why is there an extra charge on my statement.,34
"Hey, I got charged extra for some reason when I purchased an app. Is this a hidden fee or something? I don't think it's very cool.",34
I see a $1 charge in a transaction.,34
My statement contained a one pound extra fee,34
I checked my account today and saw that I was charged an extra pound that I did not spend.,34
What is the extra €1 on my statement for?,34
I see I was charged $1 for a transaction.,34
$1 charge in transaction.,34
Why is there an extra pound charge that is pending?,34
I was wrongfully charged one pound.,34
Why is there an extra fee charged?,34
"I just checked my statement and saw a $1 charge, why is it there?",34
There is an odd 1£ charge that appears as pending on my statement. What's the reason for that? I haven't purchased anything for a pound.,34
Why have I been charged an extra pound?,34
I think I may have been charged $1 extra on my app.  Could you provide some insight as to why this may have happened?,34
Why do I see an extra €1 charge on my statement?,34
Is the 1 pound charge I can see an error or an incorrect entry?,34
Why did I get a $1 extra fee on the statement?,34
Why was I charged $1 in a transaction?,34
why is there a service fee on my statement?,34
"My statement shows a 1£ purchase pending. I do not remember making this purchase, please let me know what this is about.",34
I am seeing and extra 1$ charged to my account and wanted to know about it.,34
Why did you charge me extra?,34
An extra pound was charged!,34
Why do I see an extra fee on my statement?,34
"There must have been a mistake, why was I charged an extra pound?",34
"When I look at my statement there is an extra fee, that is for what?",34
There is an extra small charge on my card! What do I do?,34
"I looked at my statement, and there is a charge for 1£ that I don't recognize.  Why is it on there?",34
What is the extra fee on my statement?,34
"In my statement, I got a €1 extra fee.",34
"On my statement, there is a strange 1£ charge that appears as pending. What's causing that? I haven't purchased anything that's just a pound.",34
what was the $1 fee i got,34
I noticed an extra pound charge?,34
I have been charged an extra pound!,34
Why does my statement show a $1 charge on my account?,34
Why does my statement have an extra fee?,34
There is a  €1 fee on my account I didn't authorize,34
It appears I have a fee in my statement.,34
When did I get a $1 extra fee on my statement?,34
What is this extra €1 fee about?,34
I was overcharged a pound.,34
Why do i have an extra fee on my statement?,34
What was the $1 charge for on my statement?,34
I had a dollar charged to my account that's still pending and wanted to know what the charge is for?,34
I was charged extra or a hidden fee when I purchased something from you. What's the deal? I didn't authorize that charge.,34
What am I being charged an extra pound when I haven't bought something worth that much?,34
why was i charged a small amount,34
Do you also have this extra fee on your statement?,34
I am being charged a pound out of nowhere. What is this?,34
A pending charge of 1L appears on my statement.  Please explain as I have not made a purchase for that amount,34
Why did you guys charge me an extra €1?,34
What is the fee on my statement for?,34
Why did a transaction I made charge me $1?,34
"There seems to be an additional charge of £1 on my statement, what is the reason for this?",34
I still have not received an answer as to why I was charged $1.00 in a transaction?,34
Why does my statement show an extra fee?,34
"There's an extra fee on my statement, why is that?",34
There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there.,34
There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out?,34
Can you tell me why I was charged $1 for a transaction?,34
Why is there an extra €1 fee in my statement?,34
"There is an extra charge on my account I didn't authorise, it's just £1, what is it?",34
"I see an extra $1  charge on my statement, why is this?",34
"There is an unexplained $1 charge on my statement, can you please explain this to me?",34
How can I find out about an extra fee on my statement?,34
"Hello, I see that I have been charged an extra $1 on my app.  Could you please provide me with a reason for this charge?",34
Is there a reason there's an extra fee on my statement?,34
Why was I charged an additional $1?,34
I do not know why I was charged for the $1 transaction.,34
"I'm pretty frustrated about a pound charge that keeps  showing up in my account statement. It's listed in the app as ""pending"", it never changes, and now I'm thinking someone's hacked my account!",34
How come there is a $1 extra charge on my statement?,34
I was charged an extra pound.,34
There is a charge for an additional pound.,34
There is a strange 1£ charge that appears as pending on my statement. What's the cause for that? I haven't purchased anything for a pound.,34
I need to know what these extra charges are on my statement?,34
How come there is an extra fee on my statement?,34
Why is there an extra charge of 1 dollar on my statement?,34
"I checked my statement and saw a charge of one pound, where is this charge coming from?",34
I don't understand why there is an extra €1 fee in my statement.,34
Why was I charged extra on my app?,34
Why was my account assessed a fee?,34
Why i'm I being charged an extra pound,34
The $1.00 has still not been reverted as indicated in the previous email.,34
My statement shows and extra 1$ that was charged to it and I would like to know why.,34
"There is an extra $1 charge on my statement, why is that?",34
Is the 1 pound charge going to be reimbursed on my card?,34
Why is there a fee added to my statement?,34
Why does my transaction have an added fee?,34
Why is there an additional fee showing on the statement I received?,34
How come I was charged a transaction of $1?,34
Please explain the charge of 1L in error.  I have purchased nothing in this amount.,34
Where did the  €1 fee in my statement come from,34
What is this random charge of one pound doing on my account?,34
My statement is showing an extra £1 charge and I am unsure why. Is there an explanation for this?,34
Do I have a $1 extra fee on the statement?,34
"I do not understand why there is a pending 1£ charge on my statement, I do not recall making this transaction. Can you please tell me what this is about?",34
My statement shows an extra fee - what is it?,34
How long will the $1 charge show as pending?,34
I was overcharged an additional pound.,34
I've been charged an extra £1 and I don't know why,34
My statement is showing I was Charged a dollar and I am not sure why.,34
Why is there a €1 charge on my statement?,34
Why is the cash withdraw I made shown as pending?,46
"Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money.",46
Should my cash withdrawal still be pending?,46
"Hey, I tried to withdraw some cash earlier and it's saying it's pending? Will I be charged for this?",46
There should be a cash withdrawal that I haven't seen yet.,46
Why is my cash withdrawal still pending?,46
"If my cash withdrawal is still not showing, is something wrong?",46
I noticed on my online statement that an ATM withdrawal I made early is still pending.  Is this accurate?,46
I made a cash withdrawal at an ATM but it still says pending in my account.,46
I tried to get cash at some ATM in the city centre earlier but the machine declined my card. I've seen it still shows up as pending in my account. Please cancel it immediately as I definitely have not received that money!,46
Why hasn't my withdrawal shown on my statement?,46
I have withdrawn cash from the ATM but it is showing in my account as a pending transation. Why is this?,46
How long does it take for a cash withdrawal to show?,46
"I tried to access money earlier but the machine seems not to be working. After looking, the transaction actually shows to still being process. Can you find out what is going on here? I don't want to be charged for some money I never got.",46
Why is my cash withdrawal pending?,46
"Hi there, earlier today I tried to take money out of an ATM machine, and something wasn't working.  I didn't actually receive the money, but I just checked and it says that the transaction is still pending.  Can you tell me what's going on here? Am I still being charged for the withdrawal even though I didn't end up getting any money?",46
I got some cash in the ATM but its still pending,46
Do you know when the withdrawal will show?,46
How long will my cash withdrawal take,46
Why do I still have a pending cash withdrawal?,46
How long does it take for a pending cash withdrawal?,46
I took out some cash from the ATM but it is still showing the transaction is pending.,46
How are cash withdrawals pending?,46
"I went to an ATM to get cash, but the app says the withdrawal is still pending. How is that possible when I already have the cash with me?",46
My cash withdrawal isnt showing on my account,46
What does pending mean on a cash withdrawal?,46
I'm expecting to see a cash withdrawal but I'm still waiting.,46
"So earlier I went to an ATM and got cash. But when I checked the app, it states that the withdrawal is pending. How can that be when I have the cash on me?",46
How long does it take for cash withdrawals to hit my account?,46
Can you explain to me why a cash withdrawal shows up as pending?,46
The machine didn't work earlier when I went to get money out and now my account says transaction in progress.Why?,46
"I got cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I already received the cash?",46
withdrawal pending meaning?,46
What does it mean to have a pending cash withdrawal?,46
I tried to get some money but the machine was not working .The transaction still seems in progress! Can you please check what's going on.I don't want to be charged for money that I did not received.,46
"My account says there are pending funds right now from withdrawing from an ATM, but my card was declined and I never took out any money. When will that money be deposited back into my account?",46
How long before I can see that my cash withdrawal has taken place?,46
My account says I have money but I withdrew it in cash.,46
I didn't receive my money earlier and it says the transaction is still in progress. Can you fix it?,46
"Hello. I have a transaction in my account listed as pending. I tried to use an ATM at the city centre, but the machine declined my card, and I did not receive the money. Why is the transaction still pending if I did not receive the money.",46
How long does it typically take for a pending ATM withdrawal to clear?,46
My cash withdrawal shows as pending still.,46
i withdrew cash and dont see it reflected on the balance,46
When will my cash withdrawal show/,46
